idx,trajectory_id,frames,duration_s,R_max,R_mean,peak_at_s,min_ttc_raw,ticks_ttc_lt2,max_speed,max_accel,max_jerk,max_steer_var,max_lane_offset,max_ttc,max_headway,max_density
23,29__1534,292,11.68,0.299373,0.220843,7.8,6.547,0,1.0,0.2086,0.0935,0.0,0.8667,0.1937,0.5145,0.28
24,29__271,297,11.88,0.225694,0.203314,0.68,85.032,0,1.0,0.053,0.0229,0.0,0.8733,0.0,0.199,0.32
25,29__127,445,17.8,0.200554,0.172016,0.08,inf,0,0.8336,0.023,0.0087,0.0,1.0,0.0,0.0,0.32
26,29__1723,434,17.36,0.174159,0.164672,10.72,83.053,0,0.8507,0.0146,0.006,0.0,0.7733,0.0,0.0331,0.24
27,29__1614,451,18.04,0.247292,0.204815,2.0,64.459,0,0.8625,0.0934,0.0385,0.0,0.9167,0.0,0.3726,0.36
28,29__1568,507,20.28,0.179827,0.152792,7.84,inf,0,0.7775,0.0401,0.0116,0.0,0.8867,0.0,0.0,0.28
29,29__297,444,17.76,0.199814,0.193187,6.72,inf,0,0.8382,0.0147,0.0108,0.0,1.0,0.0,0.0,0.2
30,29__510,429,17.16,0.207163,0.184768,0.76,31.224,0,0.8332,0.042,0.0133,0.0,1.0,0.0,0.0472,0.32
31,29__1771,336,13.44,0.404298,0.185344,12.12,4.323,0,1.0,0.0488,0.0203,0.0,0.6333,0.4903,0.8055,0.32
32,29__292,428,17.12,0.17157,0.15771,10.4,inf,0,0.8725,0.016,0.0207,0.0,0.7467,0.0,0.0,0.28
33,29__53,471,18.84,0.305962,0.266731,12.92,19.618,0,0.8704,0.2314,0.0848,0.0,0.9233,0.0,0.7517,0.4
34,29__759,432,17.28,0.17839,0.146589,16.4,inf,0,0.8593,0.0128,0.0043,0.0,0.82,0.0,0.0,0.32
35,29__856,295,11.8,0.218403,0.188668,7.96,inf,0,1.0,0.0431,0.0212,0.0,1.0,0.0,0.0,0.32
36,29__1495,352,14.08,0.252259,0.22066,5.96,37.759,0,1.0,0.0507,0.0224,0.0,0.9433,0.0,0.3757,0.2
37,29__999,415,16.6,0.199186,0.162206,15.28,282.243,0,0.8957,0.0295,0.0208,0.0,0.96,0.0,0.0,0.2
38,29__1360,349,13.96,0.218663,0.207032,4.52,inf,0,1.0,0.0444,0.0124,0.0,1.0,0.0,0.0,0.28
39,29__398,383,15.32,0.207001,0.171146,1.88,43.083,0,0.9754,0.0381,0.0134,0.0,0.9167,0.0,0.0,0.32
40,29__734,344,13.76,0.283701,0.249315,0.0,11.912,0,1.0,0.075,0.0135,0.0,0.9033,0.0,0.7395,0.36
41,29__462,288,11.52,0.246972,0.218879,8.04,72.96,0,1.0,0.0776,0.0208,0.0,0.77,0.0,0.5786,0.2
42,29__709,389,15.56,0.26609,0.212078,0.0,95.767,0,0.8825,0.1415,0.1875,0.0,0.8433,0.0,0.3264,0.32
43,29__2021,461,18.44,0.214415,0.200814,9.52,171.606,0,0.8072,0.0192,0.0103,0.0,1.0,0.0,0.0798,0.32
44,29__1173,456,18.24,0.191139,0.157218,8.32,388.429,0,0.8175,0.0181,0.0085,0.0001,0.7467,0.0,0.1141,0.32
45,29__1309,349,13.96,0.20224,0.1852,10.56,60.778,0,1.0,0.034,0.0102,0.0,0.8867,0.0,0.0,0.24
46,29__1452,358,14.32,0.28648,0.251732,0.84,10.118,0,1.0,0.0928,0.0163,0.0,0.89,0.0,0.7191,0.32
47,29__217,331,13.24,0.250598,0.217029,0.0,inf,0,1.0,0.0416,0.0208,0.0,0.7033,0.0,0.5328,0.28
48,29__1654,344,13.76,0.285205,0.246112,12.56,62.587,0,1.0,0.0348,0.0208,0.0,1.0,0.0,0.5633,0.36
49,29__36,264,10.56,0.20715,0.163328,9.44,inf,0,1.0,0.1111,0.0348,0.0,0.9633,0.0,0.0,0.36
50,29__188,336,13.44,0.267746,0.234698,0.16,inf,0,1.0,0.0236,0.0064,0.0,1.0,0.0,0.3681,0.32
51,29__1152,441,17.64,0.281192,0.254605,0.92,87.353,0,0.8446,0.0186,0.0175,0.0,1.0,0.0,0.535,0.24
52,29__203,419,16.76,0.197865,0.18759,8.56,inf,0,0.8893,0.016,0.0207,0.0,0.94,0.0,0.0,0.28
53,29__1876,281,11.24,0.345869,0.187046,2.44,4.717,0,1.0,0.0937,0.0345,0.0001,0.8667,0.4378,0.3588,0.36
54,29__268,331,13.24,0.21476,0.203563,5.88,40.431,0,1.0,0.0375,0.0119,0.0,1.0,0.0,0.0221,0.24
55,29__601,276,11.04,0.192615,0.162406,11.0,inf,0,1.0,0.0686,0.0132,0.0,0.84,0.0,0.0,0.24
56,29__618,360,14.4,0.280233,0.2315,1.04,8.432,0,1.0,0.1701,0.0377,0.0,0.9833,0.0,0.51,0.16
57,29__211,265,10.6,0.328736,0.254702,6.68,7.46,0,1.0,0.0287,0.0117,0.0,1.0,0.0719,0.765,0.36
58,29__1419,347,13.88,0.210855,0.19675,7.08,inf,0,1.0,0.0202,0.0207,0.0,1.0,0.0,0.0,0.2
59,29__350,324,12.96,0.248883,0.188134,2.64,125.48,0,1.0,0.0473,0.0144,0.0,0.71,0.0,0.4945,0.24
60,29__1725,419,16.76,0.238134,0.19625,7.64,inf,0,0.8871,0.0461,0.0161,0.0001,1.0,0.0,0.2855,0.28
61,29__887,413,16.52,0.200155,0.180654,0.84,85.0,0,0.9,0.059,0.0195,0.0,0.5133,0.0,0.3902,0.32
62,29__1877,287,11.48,0.309318,0.250359,0.0,inf,0,1.0,0.0437,0.0183,0.0,1.0,0.0,0.7545,0.36
63,29__1293,367,14.68,0.206323,0.179621,0.36,inf,0,1.0,0.039,0.0099,0.0,1.0,0.0,0.0,0.24
64,29__2026,313,12.52,0.219731,0.18048,9.24,inf,0,1.0,0.0418,0.0086,0.0,1.0,0.0,0.0,0.28
65,29__1690,421,16.84,0.353223,0.204868,10.36,3.396,0,0.8932,0.0475,0.015,0.0001,1.0,0.6139,0.5255,0.32
66,29__1696,380,15.2,0.297442,0.271415,8.92,30.952,0,0.9775,0.0357,0.0094,0.0,0.9767,0.0,0.604,0.44
67,29__571,352,14.08,0.302436,0.164848,11.32,inf,0,1.0,0.0943,0.0233,0.0001,1.0,0.0,0.93,0.32
68,29__1948,415,16.6,0.224051,0.200539,2.36,10.238,0,0.9036,0.0657,0.012,0.0,0.7767,0.0,0.6707,0.4
69,29__1601,334,13.36,0.267563,0.238959,9.16,23.01,0,1.0,0.0633,0.0208,0.0,0.9933,0.0,0.3602,0.28
70,29__1730,331,13.24,0.214687,0.166067,4.72,inf,0,1.0,0.0271,0.0104,0.0,1.0,0.0,0.0,0.32
71,29__2060,361,14.44,0.259305,0.233769,5.8,inf,0,1.0,0.03,0.0193,0.0,0.99,0.0,0.4222,0.32
72,29__358,343,13.72,0.311577,0.275157,6.16,22.008,0,1.0,0.0516,0.0213,0.0,1.0,0.0,0.5978,0.32
73,29__1213,351,14.04,0.239654,0.206089,0.48,inf,0,1.0,0.053,0.0164,0.0,1.0,0.0,0.1769,0.28
74,29__1772,335,13.4,0.257493,0.22969,11.76,12.806,0,1.0,0.1663,0.0514,0.0,0.7,0.0,0.6016,0.28
75,29__1430,319,12.76,0.253738,0.194537,0.56,14.012,0,1.0,0.0452,0.0255,0.0,0.9833,0.0,0.4153,0.24
76,29__560,378,15.12,0.312048,0.280932,2.6,12.261,0,1.0,0.0527,0.018,0.0,0.7633,0.0,0.8253,0.32
77,29__154,382,15.28,0.246509,0.210489,0.0,12.838,0,1.0,0.1318,0.0305,0.0,0.7,0.0,0.7002,0.24
78,29__1203,461,18.44,0.152597,0.136493,15.44,1130.667,0,0.81,0.0212,0.0057,0.0,0.6133,0.0,0.0,0.32
79,29__498,367,14.68,0.180061,0.164497,10.56,47.23,0,1.0,0.09,0.0354,0.0,0.6567,0.0,0.0,0.32
80,29__1407,434,17.36,0.210057,0.193498,15.28,30.124,0,0.87,0.0376,0.014,0.0,0.6867,0.0,0.3726,0.24
81,29__1230,385,15.4,0.20944,0.162499,0.04,205.571,0,0.8911,0.1415,0.167,0.0,0.8367,0.0,0.0,0.2
82,29__1871,331,13.24,0.342111,0.310303,0.68,inf,0,1.0,0.1186,0.0341,0.0001,1.0,0.0,0.841,0.36
83,29__166,293,11.72,0.255307,0.216479,0.0,114.097,0,1.0,0.0386,0.0223,0.0,0.6833,0.0,0.5534,0.4
84,29__1647,417,16.68,0.342549,0.316659,5.76,7.856,0,0.9879,0.1386,0.048,0.0,1.0,0.0192,0.8248,0.32
85,29__1649,280,11.2,0.205758,0.193757,5.16,29.46,0,1.0,0.0597,0.0321,0.0,0.8767,0.0,0.0466,0.32
86,29__1646,314,12.56,0.306555,0.239556,11.28,21.308,0,1.0,0.0603,0.019,0.0,1.0,0.0,0.5771,0.4
87,29__1039,347,13.88,0.310107,0.249247,8.12,16.654,0,1.0,0.1003,0.0245,0.0001,1.0,0.0,0.7609,0.28
88,29__1172,388,15.52,0.310286,0.287532,0.04,125.333,0,0.97,0.0447,0.0188,0.0,0.8633,0.0,0.7831,0.36
89,29__845,323,12.92,0.199417,0.179299,0.0,inf,0,1.0,0.0529,0.007,0.0,0.65,0.0,0.2507,0.28
90,29__659,373,14.92,0.30548,0.273081,1.52,15.436,0,1.0,0.1414,0.0411,0.0,0.75,0.0,0.7698,0.28
91,29__672,439,17.56,0.266366,0.212253,15.44,17.415,0,0.8461,0.0249,0.0092,0.0,1.0,0.0,0.4633,0.28
92,29__293,302,12.08,0.208078,0.1823,4.12,106.92,0,1.0,0.0246,0.0068,0.0,0.83,0.0,0.139,0.16
93,29__1498,318,12.72,0.463855,0.234622,8.2,2.907,0,1.0,0.062,0.0183,0.0,1.0,0.679,0.6876,0.24
94,29__1178,299,11.96,0.197625,0.169525,5.08,50.325,0,1.0,0.0615,0.0177,0.0,0.77,0.0,0.0,0.36
95,29__879,425,17.0,0.185238,0.166367,12.64,inf,0,0.8671,0.0129,0.0055,0.0,0.86,0.0,0.0,0.28
96,29__980,336,13.44,0.386613,0.297933,7.04,5.637,0,1.0,0.1775,0.052,0.0,0.82,0.3151,0.8386,0.28
97,29__174,313,12.52,0.374621,0.319936,11.04,6.964,0,1.0,0.0986,0.0289,0.0,0.98,0.1381,0.8614,0.4
98,29__1641,428,17.12,0.217379,0.169447,0.0,140.969,0,0.8725,0.0229,0.0077,0.0,0.6367,0.0,0.4164,0.32
99,29__276,355,14.2,0.254063,0.227674,2.16,13.776,0,1.0,0.0601,0.0207,0.0,0.9033,0.0,0.4219,0.16
100,29__1333,299,11.96,0.189839,0.176383,5.72,1046.875,0,1.0,0.0431,0.0204,0.0,0.8233,0.0,0.0,0.2
101,29__727,327,13.08,0.193893,0.175818,0.28,322.22,0,1.0,0.0801,0.0321,0.0,0.8833,0.0,0.0,0.24
102,29__1683,409,16.36,0.347679,0.313542,1.72,7.202,0,0.9782,0.1614,0.0572,0.0,1.0,0.1064,0.844,0.36
103,29__441,370,14.8,0.230526,0.20352,12.84,18.941,0,1.0,0.0505,0.0162,0.0,1.0,0.0,0.2724,0.2
104,29__1551,443,17.72,0.201445,0.193813,10.92,inf,0,0.8336,0.0144,0.0078,0.0,1.0,0.0,0.0,0.24
105,29__1224,464,18.56,0.139274,0.12371,15.72,1632.2,0,0.8125,0.0273,0.0208,0.0,0.48,0.0,0.0,0.28
106,29__1033,320,12.8,0.167057,0.152898,0.0,inf,0,1.0,0.0245,0.0077,0.0,0.69,0.0,0.0,0.24
107,29__1132,312,12.48,0.207787,0.176807,5.72,16.592,0,1.0,0.0426,0.0208,0.0,1.0,0.0,0.0,0.28
108,29__2138,351,14.04,0.20189,0.183555,1.56,55.991,0,0.8482,0.0378,0.0285,0.0,1.0,0.0,0.0,0.2
109,29__1913,283,11.32,0.288914,0.234154,9.72,12.491,0,1.0,0.0718,0.0264,0.0,0.74,0.0,0.6466,0.32
110,29__1755,390,15.6,0.193139,0.180325,15.52,inf,0,0.96,0.0358,0.0112,0.0,0.9533,0.0,0.0,0.28
111,29__124,365,14.6,0.295654,0.273879,1.32,inf,0,1.0,0.0502,0.0226,0.0,0.9633,0.0,0.6826,0.28
112,29__1841,373,14.92,0.239761,0.216903,0.88,inf,0,1.0,0.0348,0.0047,0.0,0.6767,0.0,0.6193,0.36
113,29__1890,435,17.4,0.217039,0.192302,2.64,62.529,0,0.8514,0.0277,0.0124,0.0,0.78,0.0,0.3755,0.32
114,29__2106,254,10.16,0.170619,0.150501,0.2,19.28,0,1.0,0.0603,0.0091,0.0,0.6833,0.0,0.0,0.32
115,29__636,285,11.4,0.232047,0.213792,9.76,37.257,0,1.0,0.0416,0.0208,0.0,1.0,0.0,0.2457,0.16
116,29__487,421,16.84,0.183966,0.166529,14.32,82.273,0,0.8846,0.0271,0.0229,0.0,0.62,0.0,0.2821,0.24
117,29__1262,318,12.72,0.19231,0.161896,6.24,115.235,0,1.0,0.0516,0.0192,0.0,0.8367,0.0,0.0343,0.24
118,29__312,269,10.76,0.225398,0.20349,5.4,53.753,0,1.0,0.0583,0.0208,0.0,0.6967,0.0,0.3662,0.28
119,29__1390,371,14.84,0.242057,0.194161,10.04,inf,0,1.0,0.0224,0.0104,0.0,1.0,0.0,0.4878,0.28
120,29__1607,290,11.6,0.218156,0.195331,2.6,50.992,0,1.0,0.0283,0.009,0.0,1.0,0.0,0.0,0.28
121,29__615,289,11.56,0.277473,0.216874,10.6,14.674,0,1.0,0.0452,0.0198,0.0,0.9,0.0,0.5671,0.24
122,29__2137,292,11.68,0.183042,0.145366,1.44,11.198,0,1.0,0.08,0.0182,0.0,0.6033,0.0,0.2671,0.2
123,29__731,349,13.96,0.328814,0.303442,6.6,56.452,0,1.0,0.0698,0.0225,0.0,1.0,0.0,0.7388,0.32
124,29__1531,254,10.16,0.238124,0.18348,9.0,22.953,0,1.0,0.0471,0.0208,0.0,1.0,0.0,0.27,0.24
125,29__256,475,19.0,0.2689,0.239921,7.0,7.687,0,0.7954,0.0315,0.0085,0.0,0.68,0.0417,0.7824,0.2
126,29__424,443,17.72,0.200286,0.184504,0.24,192.0,0,0.8386,0.0152,0.0086,0.0,1.0,0.0,0.0,0.28
127,29__1317,445,17.8,0.23477,0.21258,0.76,36.195,0,0.8458,0.0316,0.0258,0.0,1.0,0.0,0.4305,0.28
128,29__607,439,17.56,0.294937,0.262237,5.36,62.306,0,0.8418,0.0218,0.0094,0.0,1.0,0.0,0.6622,0.2
129,29__1833,307,12.28,0.332278,0.248208,2.68,43.585,0,1.0,0.0592,0.0175,0.0,1.0,0.0,0.7421,0.32
130,29__1596,339,13.56,0.264552,0.230735,0.88,53.94,0,1.0,0.0645,0.0187,0.0,0.9867,0.0,0.2879,0.4
131,29__831,416,16.64,0.237178,0.213417,14.76,155.444,0,0.9007,0.0236,0.0051,0.0,0.7667,0.0,0.5574,0.28
132,29__7,176,7.04,0.195145,0.180403,0.88,inf,0,1.0,0.1129,0.0316,0.0,0.79,0.0,0.0,0.16
133,29__1382,433,17.32,0.260948,0.226731,1.8,inf,0,0.8564,0.0357,0.0121,0.0,0.8633,0.0,0.5822,0.28
134,29__308,430,17.2,0.20869,0.188176,3.12,345.053,0,0.8593,0.0229,0.0118,0.0,1.0,0.0,0.0,0.32
135,29__2006,344,13.76,0.180893,0.150836,0.04,30.825,0,1.0,0.0406,0.0095,0.0,0.7833,0.0,0.0,0.2
136,29__1162,303,12.12,0.202544,0.163294,0.0,20.743,0,1.0,0.0203,0.0066,0.0,1.0,0.0,0.0,0.32
137,29__1476,267,10.68,0.217135,0.203714,2.76,inf,0,1.0,0.0454,0.0088,0.0,1.0,0.0,0.0,0.24
138,29__56,337,13.48,0.245921,0.229647,1.76,32.265,0,1.0,0.0533,0.0242,0.0,1.0,0.0,0.1771,0.36
139,29__1046,315,12.6,0.219838,0.201275,6.04,inf,0,1.0,0.0544,0.0147,0.0,1.0,0.0,0.0,0.28
140,29__941,322,12.88,0.22525,0.1614,7.28,42.82,0,1.0,0.1301,0.0432,0.0001,1.0,0.0,0.0,0.24
141,29__953,344,13.76,0.282419,0.23672,6.08,8.974,0,1.0,0.09,0.0302,0.0,0.6433,0.0,0.8033,0.28
142,29__1472,324,12.96,0.218657,0.193558,2.12,21.863,0,1.0,0.0716,0.0276,0.0,1.0,0.0,0.0,0.28
143,29__1084,378,15.12,0.209155,0.192819,9.64,inf,0,0.9729,0.0245,0.0147,0.0001,1.0,0.0,0.0,0.28
144,29__192,315,12.6,0.272741,0.238092,0.0,317.571,0,1.0,0.0432,0.0208,0.0,0.6367,0.0,0.671,0.36
145,29__1117,426,17.04,0.240551,0.175365,10.4,inf,0,0.8721,0.0186,0.0219,0.0,0.93,0.0,0.4978,0.24
146,29__2098,393,15.72,0.224774,0.2067,0.92,16.65,0,1.0,0.0865,0.0137,0.0,1.0,0.0,0.0,0.36
147,29__1433,306,12.24,0.211036,0.193889,0.64,inf,0,1.0,0.0319,0.0208,0.0,1.0,0.0,0.0214,0.12
148,29__519,334,13.36,0.290711,0.274878,8.48,71.22,0,1.0,0.0573,0.0207,0.0,1.0,0.0,0.4445,0.4
149,29__742,318,12.72,0.213663,0.200433,3.6,43.048,0,1.0,0.0216,0.0159,0.0,1.0,0.0,0.0,0.2
150,29__746,419,16.76,0.206657,0.193227,13.08,inf,0,0.8832,0.0201,0.0125,0.0,1.0,0.0,0.0,0.28
151,29__17,272,10.88,0.203504,0.193824,5.64,inf,0,1.0,0.0705,0.0255,0.0,0.9267,0.0,0.0,0.24
152,29__1256,264,10.56,0.195047,0.154295,9.0,8.175,0,1.0,0.1051,0.0186,0.0,0.6233,0.0,0.2826,0.24
153,29__2087,330,13.2,0.225095,0.161293,4.32,inf,0,1.0,0.0672,0.0208,0.0,1.0,0.0,0.0,0.36
154,29__1439,301,12.04,0.276215,0.190697,2.88,24.25,0,1.0,0.057,0.0231,0.0001,1.0,0.0,0.455,0.32
155,29__2004,304,12.16,0.248422,0.221943,10.32,37.408,0,1.0,0.035,0.0174,0.0,0.5867,0.0,0.6078,0.28
156,29__1005,312,12.48,0.229451,0.186328,5.76,14.387,0,1.0,0.0376,0.0215,0.0,0.7233,0.0,0.4847,0.2
157,29__689,382,15.28,0.254356,0.209059,13.6,13.087,0,0.9771,0.0829,0.0233,0.0,0.91,0.0,0.4148,0.36
158,29__78,424,16.96,0.169206,0.157121,6.12,79.181,0,0.8707,0.0181,0.0074,0.0,0.7533,0.0,0.0,0.2
159,29__1637,416,16.64,0.313908,0.289814,0.16,11.745,0,0.9029,0.0472,0.0153,0.0,0.93,0.0,0.8647,0.36
160,29__1931,301,12.04,0.327717,0.279209,10.36,7.419,0,1.0,0.193,0.0514,0.0,0.72,0.0774,0.8612,0.4
161,29__1491,422,16.88,0.169703,0.140181,14.72,inf,0,0.8868,0.0179,0.0077,0.0,0.72,0.0,0.0,0.24
162,29__1861,317,12.68,0.164654,0.140455,8.32,27.027,0,1.0,0.0501,0.0208,0.0,0.3767,0.0,0.1933,0.36
163,29__1081,329,13.16,0.21144,0.17856,8.64,16.261,0,1.0,0.1194,0.0237,0.0,0.53,0.0,0.3055,0.24
164,29__1195,461,18.44,0.183335,0.149038,0.88,323.233,0,0.8047,0.0158,0.0057,0.0,0.9467,0.0,0.0,0.28
165,29__1221,369,14.76,0.282027,0.228028,1.64,inf,0,1.0,0.1072,0.0299,0.0,1.0,0.0,0.3986,0.24
166,29__444,278,11.12,0.242105,0.224115,1.96,54.611,0,1.0,0.0957,0.0329,0.0,0.9833,0.0,0.2076,0.2
167,29__1788,410,16.4,0.216888,0.167646,0.16,inf,0,0.8654,0.1401,0.1041,0.0,0.8233,0.0,0.1178,0.28
168,29__1215,349,13.96,0.244485,0.220142,0.0,72.891,0,1.0,0.063,0.0157,0.0,0.83,0.0,0.3938,0.24
169,29__756,335,13.4,0.228722,0.206905,12.12,15.701,0,1.0,0.0744,0.0169,0.0,0.8033,0.0,0.4909,0.28
170,29__1626,296,11.84,0.184209,0.151794,0.76,44.035,0,1.0,0.0357,0.0095,0.0,0.7767,0.0,0.089,0.4
171,29__1578,499,19.96,0.184505,0.167257,19.84,320.636,0,0.7779,0.036,0.0081,0.0,0.92,0.0,0.0,0.24
172,29__478,419,16.76,0.217724,0.178748,14.08,37.778,0,0.8848,0.0191,0.0153,0.0,0.9767,0.0,0.2181,0.16
173,29__927,406,16.24,0.220866,0.174566,1.32,199.333,0,0.8711,0.0305,0.0071,0.0,0.72,0.0,0.3412,0.28
174,29__1970,278,11.12,0.154345,0.141426,0.24,22.015,0,1.0,0.0846,0.0126,0.0,0.5033,0.0,0.0,0.2
175,29__904,364,14.56,0.258337,0.234126,1.72,142.375,0,1.0,0.0679,0.029,0.0,0.31,0.0,0.8478,0.4
176,29__1301,344,13.76,0.191422,0.163615,9.8,inf,0,1.0,0.023,0.0095,0.0,0.7933,0.0,0.0,0.24
177,29__1599,458,18.32,0.236063,0.185884,0.0,22.759,0,0.8532,0.0466,0.0127,0.0,0.9367,0.0,0.6164,0.28
178,29__681,445,17.8,0.257378,0.228133,4.36,93.174,0,0.8525,0.0316,0.008,0.0,1.0,0.0,0.3076,0.36
179,29__355,310,12.4,0.18948,0.158349,1.96,inf,0,1.0,0.0277,0.0208,0.0,0.8,0.0,0.0,0.24
180,29__1062,316,12.64,0.268374,0.238424,0.76,25.07,0,1.0,0.0714,0.022,0.0,0.79,0.0,0.6141,0.24
181,29__2010,393,15.72,0.207335,0.182309,0.64,91.462,0,0.91,0.0272,0.0103,0.0,1.0,0.0,0.0,0.24
182,29__1885,442,17.68,0.33735,0.311328,7.76,11.905,0,0.8393,0.0402,0.0157,0.0,1.0,0.0,0.8669,0.32
183,29__1591,335,13.4,0.325772,0.3059,10.76,116.938,0,1.0,0.043,0.0081,0.0,1.0,0.0,0.7624,0.52
184,29__1546,304,12.16,0.218826,0.169846,1.64,20.652,0,1.0,0.0611,0.016,0.0,1.0,0.0,0.3152,0.32
185,29__1694,301,12.04,0.314198,0.241423,3.16,5.532,0,1.0,0.0422,0.0167,0.0,1.0,0.3291,0.5834,0.44
186,29__216,419,16.76,0.189636,0.164737,0.0,inf,0,0.8254,0.1372,0.1249,0.0,0.88,0.0,0.0279,0.28
187,29__829,323,12.92,0.167905,0.151378,11.4,inf,0,1.0,0.0276,0.0208,0.0,0.63,0.0,0.0,0.32
188,29__109,312,12.48,0.221163,0.203574,4.2,82.228,0,1.0,0.0344,0.0093,0.0,1.0,0.0,0.0,0.32
189,29__2011,314,12.56,0.199741,0.165552,1.2,655.257,0,1.0,0.0398,0.0092,0.0,0.87,0.0,0.0,0.24
190,29__1148,438,17.52,0.291852,0.220161,0.0,inf,0,0.8747,0.0415,0.0208,0.0,1.0,0.0,0.5531,0.32
191,29__1924,345,13.8,0.304045,0.210061,0.0,inf,0,1.0,0.0729,0.0391,0.0002,1.0,0.0,0.6971,0.36
192,29__283,334,13.36,0.200513,0.16207,4.44,inf,0,1.0,0.0289,0.0208,0.0,0.9367,0.0,0.0,0.08
193,29__1778,326,13.04,0.292847,0.24769,2.36,11.361,0,1.0,0.066,0.02,0.0,1.0,0.0,0.8174,0.32
194,29__1276,283,11.32,0.215459,0.174263,7.12,36.713,0,1.0,0.0982,0.0233,0.0,1.0,0.0,0.0,0.2
195,29__1511,262,10.48,0.231128,0.194386,0.0,inf,0,1.0,0.1017,0.0408,0.0,0.6167,0.0,0.4847,0.24
196,29__662,287,11.48,0.210508,0.198957,0.24,inf,0,1.0,0.0434,0.0081,0.0,1.0,0.0,0.0,0.28
197,29__1899,306,12.24,0.203793,0.17207,12.04,268.691,0,1.0,0.0245,0.0056,0.0,1.0,0.0,0.0,0.24
198,29__1252,292,11.68,0.204229,0.185713,4.8,21.919,0,1.0,0.0731,0.0194,0.0,0.8733,0.0,0.0,0.24
199,29__1594,300,12.0,0.173947,0.159877,0.76,71.894,0,1.0,0.09,0.0354,0.0,0.6833,0.0,0.0,0.28
200,29__2025,383,15.32,0.277045,0.223329,13.64,8.994,0,1.0,0.0835,0.0184,0.0,0.6967,0.0,0.665,0.28
201,29__1251,311,12.44,0.195779,0.18123,1.16,56.789,0,1.0,0.0254,0.0099,0.0,0.9167,0.0,0.0,0.24
202,29__881,292,11.68,0.270378,0.173136,0.0,8.545,0,1.0,0.042,0.0162,0.0001,1.0,0.0,0.5509,0.32
203,29__222,307,12.28,0.27417,0.245426,7.8,14.655,0,1.0,0.0488,0.0211,0.0,0.9767,0.0,0.536,0.32
204,29__139,432,17.28,0.286346,0.259545,0.48,inf,0,0.8671,0.036,0.0134,0.0,1.0,0.0,0.6164,0.44
